b week1 NEG sunny humid temp=85
b week1 POS sunny humid temp=82
*
b week2 POS sunny dry temp=76
b week2 NEG sunny humid temp=80
*
b week3 POS cloudy dry temp=65
b week3 NEG cloudy humid temp=78
*
b week4 NEG cloudy rainy temp=70
b week4 POS sunny humid temp=80
*
b week5 NEG sunny dry temp=100
b week5 POS sunny dry temp=83
*
b week6 POS cloudy dry temp=70
b week6 NEG cloud humid temp=76
*
b week7 POS sunny humid temp=65
b week7 NEG sunny humid temp=76
*
b week8 NEG cloudy dry temp=40
b week8 POS sunny dry temp=55
*
b week9 NEG sunny dry temp=35
b week9 POS cloudy humid temp=58
*
b week10 POS cloudy humid temp=65
b week10 NEG cloudy humid temp=55
*
b week11 NEG cloudy rainy temp=65
b week11 POS cloudy humid temp=65
*
b week12 POS sunny dry temp=80
b week12 NEG sunny humid temp=80
*
b week13 POS cloudy dry temp=80
b week13 NEG cloud humid temp=80
*
b week14 NEG cloudy humid temp=100
b week14 POS sunny humid temp=80
