b week1 POS sunny humid temp=85
b week2 POS sunny dry temp=76
b week3 POS sunny dry temp=65
b week4 NEG cloudy rainy temp=70
b week5 POS sunny dry temp=100
b week6 POS cloudy dry temp=70
b week7 POS sunny humid temp=65
b week8 NEG cloudy dry temp=40
b week9 POS sunny dry temp=35
b week10 POS cloudy humid temp=65
b week11 NEG cloudy rainy temp=65
b week12 POS sunny dry temp=80
b week13 POS cloudy dry temp=80
b week14 NEG cloudy humid temp=100
b week1 POS sunny dry temp=73
b week2 NEG cloudy rainy temp=73
b week3 POS cloudy dry temp=75
b week4 NEG sunny humid temp=95
b week5 NEG sunny dry temp=30
