b msg37 NEG  tokens.eq.%2e=1.0 tokens.eq.Bell=1.0 tokens.eq.Please=1.0 tokens.eq.South=1.0 tokens.eq.a=1.0 tokens.eq.add=1.0 tokens.eq.as=1.0 tokens.eq.sponsor=1.0
b msg22 POS  tokens.eq.'=1.0 tokens.eq.%2e=1.0 tokens.eq.Black=1.0 tokens.eq.Jane=1.0 tokens.eq.Please=1.0 tokens.eq.attached=1.0 tokens.eq.in=1.0 tokens.eq.link=1.0 tokens.eq.list=1.0 tokens.eq.name=1.0 tokens.eq.personnel=1.0 tokens.eq.remove=1.0 tokens.eq.s=1.0 tokens.eq.the=2.0 tokens.eq.to=1.0
b msg14 NEG  tokens.eq.,=1.0 tokens.eq.-=1.0 tokens.eq.%2e=3.0 tokens.eq.241=1.0 tokens.eq.3624=1.0 tokens.eq.@=1.0 tokens.eq.Dakota=1.0 tokens.eq.Her=1.0 tokens.eq.Jones=1.0 tokens.eq.Please=1.0 tokens.eq.add=1.0 tokens.eq.and=1.0 tokens.eq.ardra=1.0 tokens.eq.com=1.0 tokens.eq.djones=1.0 tokens.eq.e=1.0 tokens.eq.education=1.0 tokens.eq.extension=1.0 tokens.eq.is=2.0 tokens.eq.mail=1.0 tokens.eq.project=1.0 tokens.eq.room=1.0 tokens.eq.technologies=1.0 tokens.eq.the=1.0 tokens.eq.to=1.0
b msg03 NEG  tokens.eq."=3.0 tokens.eq.%2e=1.0 tokens.eq.Conference=1.0 tokens.eq.Databases=1.0 tokens.eq.International=1.0 tokens.eq.Large=1.0 tokens.eq.Please=1.0 tokens.eq.Publications=1.0 tokens.eq.VLDB=1.0 tokens.eq.Very=1.0 tokens.eq.`=6.0 tokens.eq.change=1.0 tokens.eq.on=2.0 tokens.eq.page=1.0 tokens.eq.string=1.0 tokens.eq.the=2.0 tokens.eq.to=1.0
b msg30 POS  tokens.eq.%2e=2.0 tokens.eq.3=1.0 tokens.eq.30=1.0 tokens.eq.:=1.0 tokens.eq.Communication=1.0 tokens.eq.Media=1.0 tokens.eq.Please=1.0 tokens.eq.The=1.0 tokens.eq.Tuesday=1.0 tokens.eq.and=1.0 tokens.eq.been=1.0 tokens.eq.cancelled=1.0 tokens.eq.conference=1.0 tokens.eq.has=1.0 tokens.eq.on=2.0 tokens.eq.pm=1.0 tokens.eq.remove=1.0
b msg24 NEG  tokens.eq.'=1.0 tokens.eq.%2e=1.0 tokens.eq.CV=1.0 tokens.eq.John=1.0 tokens.eq.Please=1.0 tokens.eq.Riley=1.0 tokens.eq.add=1.0 tokens.eq.attached=1.0 tokens.eq.page=1.0 tokens.eq.personal=1.0 tokens.eq.s=1.0 tokens.eq.the=1.0 tokens.eq.to=1.0
b msg17 NEG  tokens.eq."=2.0 tokens.eq.,=1.0 tokens.eq.%2e=1.0 tokens.eq.2002=1.0 tokens.eq.23=1.0 tokens.eq.Directors=1.0 tokens.eq.July=1.0 tokens.eq.Please=1.0 tokens.eq.Presentation=1.0 tokens.eq.Project=1.0 tokens.eq.add=1.0 tokens.eq.and=1.0 tokens.eq.education=1.0 tokens.eq.events=1.0 tokens.eq.for=1.0 tokens.eq.news=1.0 tokens.eq.of=1.0 tokens.eq.on=1.0 tokens.eq.page=1.0 tokens.eq.project=1.0 tokens.eq.rd=1.0 tokens.eq.technologies=1.0 tokens.eq.the=2.0 tokens.eq.to=1.0
b msg02 NEG  tokens.eq."=1.0 tokens.eq.%2e=1.0 tokens.eq.Please=1.0 tokens.eq.Publications=1.0 tokens.eq.`=2.0 tokens.eq.add=1.0 tokens.eq.folder=1.0 tokens.eq.site=1.0 tokens.eq.the=2.0 tokens.eq.to=1.0 tokens.eq.web=1.0
b msg36 POS  tokens.eq.%2e=1.0 tokens.eq.Ardra=1.0 tokens.eq.Discreet=1.0 tokens.eq.Interactive=1.0 tokens.eq.Please=1.0 tokens.eq.Systems=1.0 tokens.eq.agency=1.0 tokens.eq.and=1.0 tokens.eq.from=1.0 tokens.eq.list=1.0 tokens.eq.of=1.0 tokens.eq.remove=1.0 tokens.eq.sponsors=1.0 tokens.eq.the=1.0
b msg31 NEG  tokens.eq.%2e=1.0 tokens.eq.Arts=1.0 tokens.eq.Entertainment=1.0 tokens.eq.Monday=1.0 tokens.eq.Please=1.0 tokens.eq.Technology=1.0 tokens.eq.add=1.0 tokens.eq.and=1.0 tokens.eq.events=1.0 tokens.eq.for=1.0 tokens.eq.luncheon=1.0 tokens.eq.noon=1.0 tokens.eq.of=1.0 tokens.eq.schedule=1.0 tokens.eq.staff=1.0 tokens.eq.support=1.0 tokens.eq.the=2.0 tokens.eq.to=1.0 tokens.eq.upcomming=1.0
